| 6h return | daily fractional period | daily return | weekly fractional period | weekly return | monthly fractional period | monthly return | annual fractional period | annual return |
| 0.009366 | 0.250000 | 0.037464 | 0.051587 | 0.181557 | 0.011905 | 0.786748 | 0.000684 | 13.683521 |
| 0.018340 | 0.250000 | 0.073361 | 0.051587 | 0.355520 | 0.011905 | 1.540589 | 0.000684 | 26.794686 |
| 0.000019 | 0.250000 | 0.000077 | 0.051587 | 0.000373 | 0.011905 | 0.001615 | 0.000684 | 0.028087 |
| -0.002856 | 0.250000 | -0.011425 | 0.051587 | -0.055366 | 0.011905 | -0.239919 | 0.000684 | -4.172790 |
| -0.010032 | 0.250000 | -0.040129 | 0.051587 | -0.194471 | 0.011905 | -0.842706 | 0.000684 | -14.656758 |
| -0.024918 | 0.250000 | -0.099671 | 0.051587 | -0.483023 | 0.011905 | -2.093098 | 0.000684 | -36.404214 |
| 0.003503 | 0.250000 | 0.014013 | 0.051587 | 0.067909 | 0.011905 | 0.294273 | 0.000684 | 5.118146 |
| -0.039276 | 0.250000 | -0.157104 | 0.051587 | -0.761350 | 0.011905 | -3.299185 | 0.000684 | -57.381075 |
| -0.031249 | 0.250000 | -0.124995 | 0.051587 | -0.605747 | 0.011905 | -2.624905 | 0.000684 | -45.653668 |
| 0.011531 | 0.250000 | 0.046122 | 0.051587 | 0.223516 | 0.011905 | 0.968568 | 0.000684 | 16.845817 |
| -0.046960 | 0.250000 | -0.187841 | 0.051587 | -0.910308 | 0.011905 | -3.944667 | 0.000684 | -68.607626 |
| -0.015418 | 0.250000 | -0.061672 | 0.051587 | -0.298871 | 0.011905 | -1.295109 | 0.000684 | -22.525183 |
| 0.058943 | 0.250000 | 0.235772 | 0.051587 | 1.142589 | 0.011905 | 4.951220 | 0.000684 | 86.114086 |
| 0.001801 | 0.250000 | 0.007203 | 0.051587 | 0.034904 | 0.011905 | 0.151253 | 0.000684 | 2.630661 |
| 0.065877 | 0.250000 | 0.263507 | 0.051587 | 1.276997 | 0.011905 | 5.533652 | 0.000684 | 96.244034 |
